Regions,City,Latitude,Longitude,Murder,Rape,Kidnapping,Robbery,Holding hostage,Riot,Arson,Assault,Covid
Sector 33A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 33C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 33D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 34 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 34A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 34C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 34C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 34D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 35  ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 35A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 35B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 35C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 35D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 36 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 36A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 36C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 36D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 37 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 37A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 37B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 37C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 37D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 38 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 38 West ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 38A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 38B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 38C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 38D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 4 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 40 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 40A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 40B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 40C,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 40C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 40D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 41 D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 42 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 42B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 42C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 43A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 43B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 44 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 44A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 44B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 44C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 44D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
sector 45 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 45A,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 45A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 45B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 45C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 45D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 46 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 46C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 47 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 47C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 47D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 48,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 49 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 49A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 5 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 50 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 6 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 61 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 65 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
